year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence
1921,0.935198347107438,0.41660826446280996,228542.70247933886,0.22502727272727274,0.3307963149586777,0.21790826446280992,-17.442272727272726,0.371900826446281,0.07943719008264463,99.91694214876034,0.4330710743801653
1922,0.9392361111111112,0.48000000000000004,167904.54166666666,0.23702625,0.4404699409722222,0.23864722222222223,-19.17995833333333,0.1388888888888889,0.11541944444444445,101.37613888888889,0.5340555555555555
1923,0.9763289408284024,0.5684615384615385,178356.30177514793,0.2469360946745562,0.40193248236686385,0.23665562130177514,-14.373881656804732,5.727810650887574,0.0986189349112426,112.4565976331361,0.624787573964497
1924,0.9355745443037976,0.5486540084388185,188461.64978902953,0.3470329113924051,0.583954694599156,0.2378746835443038,-14.202303797468353,0.6033755274261603,0.09020970464135021,120.65335864978903,0.6685738396624471
1925,0.9654220532319392,0.5718897338403041,184130.69961977185,0.2643726235741445,0.40889340844106464,0.243093536121673,-14.516707224334601,2.7072243346007605,0.1154574144486692,115.67171482889734,0.6164304182509506
1926,0.9464684503816794,0.5119496183206107,192414.32366412214,0.2274402595419847,0.6251505484732824,0.19709908396946563,-16.72086717557252,2.1526717557251906,0.09402091603053435,105.02168091603053,0.5170493282442747
1927,0.9517184220205479,0.6493561643835616,184327.51712328766,0.24869623287671236,0.41001778167808217,0.16703767123287674,-14.862503424657536,0.8493150684931506,0.11278373287671234,114.48620719178084,0.6632909246575343
1928,0.9461880059171599,0.5296956889264581,217498.31191885038,0.20714274725274726,0.5169790110481826,0.1779883347421809,-17.316192730346575,1.536770921386306,0.1353132713440406,106.19524598478444,0.49295359256128496
1929,0.9735323886639675,0.6070965587044533,197092.86437246963,0.2290352226720648,0.41049027558704454,0.18023117408906883,-14.014246963562753,0.6072874493927125,0.10977368421052631,115.8998866396761,0.6314370445344129
1930,0.9464509078073089,0.5098191583610189,195868.93133997786,0.3262096068660022,0.36498628212624584,0.2175638427464009,-12.701004983388705,0.8754152823920266,0.07797292358803987,110.20768936877076,0.6189463455149502
1931,0.8758935229067931,0.556093522906793,179379.57345971564,0.2584339699842022,0.33201110037914694,0.2391178515007899,-15.903581358609795,0.21169036334913113,0.2331815165876777,108.01028120063191,0.5713129541864139
1932,0.9400876826722339,0.5600509394572024,193462.6847599165,0.30547849686847606,0.2264179156784969,0.23631983298538625,-13.288906054279748,1.5427974947807934,0.14177640918580375,116.22583298538623,0.5936018789144051
1933,0.9050253706924315,0.6046231884057971,191733.31078904992,0.28703429951690823,0.12930554942028985,0.20956312399355878,-12.7730692431562,7.080515297906603,0.09626167471819645,114.95012399355878,0.6361067632850241
1934,0.8928537501805055,0.5298339350180505,187911.9963898917,0.2599906137184116,0.27386507657039716,0.21632815884476533,-14.863938628158843,1.0469314079422383,0.10440938628158845,115.98828700361011,0.5642550541516246
1935,0.8823735252918288,0.5215435019455252,247053.54785992217,0.2657405992217899,0.27529965246692606,0.2181287159533074,-15.08738832684825,1.6568093385214009,0.23090863813229573,110.41620700389105,0.5085184435797665
1936,0.7952288457142858,0.5322103809523809,248725.49333333335,0.30661482876190477,0.29947280196190473,0.22588095238095238,-13.791786666666667,5.014285714285714,0.2155181904761905,109.95647714285715,0.5514850476190475
1937,0.9021918505942275,0.5570989813242785,205488.5687606112,0.2854969949066214,0.33931803473684213,0.21854091680814938,-13.444786078098472,3.5925297113752124,0.08688947368421053,114.48127504244484,0.5970147707979627
1938,0.9161265270833334,0.48698177083333327,244455.01909722222,0.28362708333333336,0.36412720875,0.2345378472222222,-14.304348958333334,2.03125,0.09839027777777778,112.17112326388889,0.521627795138889
1939,0.8828339079079079,0.5130918918918919,215190.85085085084,0.29564834834834836,0.2661899461261261,0.23470110110110112,-13.818992992992992,4.22022022022022,0.12732452452452453,113.99698998998998,0.5624765765765766
1940,0.9318318831572404,0.47977793660658796,199052.8408949658,0.3582029148539466,0.3921510712616532,0.21381939092604105,-12.254215661901801,1.0279676817899317,0.07178309509011808,107.32642697327532,0.622101889372281
1941,0.906838441422594,0.47717269874476986,203378.31066945606,0.2587362656903766,0.45177975939330545,0.20186338912133892,-15.993402719665271,1.2531380753138075,0.09246192468619246,107.08254707112971,0.48065261506276147
1942,0.8510355433596118,0.46581394784718017,221935.65676167374,0.2573034990903578,0.3902667347604609,0.21330151607034564,-15.03001091570649,0.9539114614918133,0.08263493026076409,106.19702971497878,0.4738106124924197
1943,0.9157940063091484,0.46749700315457415,216915.67507886435,0.2751607728706625,0.3957950389747634,0.23569274447949523,-13.597561514195583,1.1845425867507886,0.1130552050473186,106.34442271293375,0.517023974763407
1944,0.8937246162760416,0.5071955729166667,247766.515625,0.2612761328125,0.4388316641796875,0.2358328125,-14.46616015625,2.6822916666666665,0.171884375,107.21327604166667,0.5485942708333333
1945,0.8970936038251367,0.45673859289617486,225355.92008196723,0.2479992493169399,0.3692943943579235,0.21250198087431693,-15.696756830601094,2.3995901639344264,0.10035853825136612,107.26100409836064,0.4666653688524591
1946,0.9241884420772304,0.40348754993342206,262724.5978695073,0.2043102263648469,0.49570499007989344,0.2079131824234354,-17.716520639147802,1.6464713715046604,0.08805878828229027,102.60161850865512,0.37373508655126497
1947,0.9153985351488284,0.47239860671310957,232983.2514249525,0.2589109309689677,0.3446971020645978,0.22069284357188093,-14.593786573780873,1.161494616846105,0.10091038632045597,109.27236098796708,0.5061452818239391
